id,length_of_listing_name,length_of_summary,length_of_description,name_tf_idf_sum,summary_tf_idf_sum,description_tf_idf_sum,summary_ARI,description_ARI,name_polarity,summary_polarity,description_polarity,name_subjectivity,summary_subjectivity,description_subjectivity,neighbourhood_cleansed,price,review_scores_rating,reviews_per_month
5748954,27,296,1000,0.588798031636591,0.457877848988211,0.824777761271846,0.169665724336628,0.221014850802821,0,-0.025,0.248369565217391,0.375,0.397916666666667,0.535869565217391,Edgewater,$85.00,100,4.95
5749053,33,242,1000,0.581181944366735,0.422079687501198,0.81951515010826,0.100481798259401,0.0964785165726884,0,0.292857142857143,0.291111111111111,0.375,0.482142857142857,0.497777777777778,Uptown,$95.00,100,1
5755788,22,250,892,0.441705984806548,0.478315177422175,0.703109783591245,0.0916581617625108,0.0834031195975031,1,0.138318452380952,0.207827380952381,1,0.460714285714286,0.465119047619048,Uptown,$85.00,98,2.93
5769162,30,221,1000,0.621264287455005,0.342290204524255,0.733141570457257,0.0440410332446222,0.0898125141333969,0.725,0.2,0.193333333333333,1,0.283333333333333,0.365416666666667,Logan Square,$75.00,97,2.95
5769859,34,250,1000,0.606213807896377,0.452201801094094,0.796545822583266,0.133674679426178,0.503631682846669,0,0.347619047619048,0.265826330532213,0,0.608730158730159,0.591316526610644,Lake View,$200.00,96,1.09
5774079,21,188,296,0.609435906790527,0.391433774044727,0.449209981640937,0.122725634017466,0.134807432284247,0.5,0.525,0.325,1,0.725,0.6,West Town,$140.00,97,4.26
5774941,29,247,1000,0.407895000301933,0.500499997960944,0.891675916639761,0.0909631294432253,0.345204102101069,1,0.355208333333333,0.309895833333333,1,0.503125,0.525520833333333,Edgewater,$60.00,93,2.2
5782996,31,189,1000,0.590006842764613,0.400744354795273,0.895038231396143,0.0997739179864595,0.113933165504843,0.7,0.434183673469388,0.410641025641026,0.9,0.646938775510204,0.586703296703297,Logan Square,$75.00,100,0.73
5784327,34,236,252,0.383334927565059,0.406671179721992,0.375240291493052,0.150748343788145,0.0994009301871162,0,0.6,0.6,0,0.372222222222222,0.372222222222222,Lake View,$27.00,100,0.31
5785843,16,231,523,0.256717036571371,0.475972904660023,0.633580720427247,0.156857315262342,0.220874031150489,0,0.392949907235622,0.389728453364817,0,0.569016697588126,0.557969303423849,Near North Side,$200.00,80,0.87
